English,French,Spanish
Age,Age,edad
Animal,animaux,animal
Bag,sac,bolsa
Ball,balle,bola
Band,Band,banda
Book,Réserver,libro
Box,Box,caja
Break,pause,romper
Brother,frère,hermano
Browse,feuilleter,Busque
Buy,Acheter,comprar
Call,appeler,llamar
Cat,Cat,gato
Code,code,código
Computer,Computer,ordenador
Conduct,Conduite,conducir
Country,pays,país
Day,journée,día
Dictionary,dictionnaire,diccionario
Door,par,por
Eat,manger,comer
Exam,Exam,examen
Eye,Eye,ojo
Father,père,padre
Favourite,Favourite,Favorito
File,fichier,expediente
Flower,fleur,flor
Fold,Pliez,Dobla
Freedom,libération,libertad
From,à partir de,de
Heavy,lourd,pesado
Hometown,Hometown,Procedencia
House,maison,casa
How,comment,cómo
I,je,yo
Internet,Internet,Internet
Invitation,invitation,invitación
Ill,ill,enfermo
Key,Key,clave
Kind,Kind,tipo
Lecture,conférences,Ponencia
Letter,lettre,carta
Life,vie,vida
Listen,Écoutez,escuchar
Live,Vivez,vivir
Mirror,Mirror,espejo
Mother,mère,madre
Music,Musique,música
My,mon,mi
Name,nom,nombre
Nice,gentil,Niza
Number,nombre,número
Occupation,métier,ocupación
Old,vieux,viejo
Open,Ouvert,Abierto
Paper,papier,papel
Pen,Pen,pluma
Pencil,crayon,lápiz
Play,jouer,jugar
Poster,affiche,cartel
Program,programme,programa
Purse,sac à main,bolso
Quality,qualité,calidad
Rain,pluie,lluvia
Read,lire,leer
Rice,riz,arroz
Rude,grossier,grosero
School,école,escuela
Sea,mer,Sea
See,voir,ver
Sheet,feuille,hoja
Ship,expédier,enviar
Sight,viseur,vista
Sister,soeur,hermana
smell,odeur,olor
Song,chanson,canción
Soul,âme,alma
Study,Étude,estudiar
station,gare,estación
Sun,Sun,sol
Surf,Surf,navegar
Talk,parler,hablar
Telephone,téléphone,teléfono
This,cette,este
Town,commune,ciudad
Train,suite,tren
Tree,arbre,árbol
Type,catégorie,tipo
University,Université,universidad
War,était,era
Watch,voir,ver
We,nous,nosotros
What,Quoi,¿Qué
Where,où,donde
Which,qui,que
Why,Pourquoi,¿Por qué
Write,écrire,escribir
Year,année,año
You,vous,usted
Your,votre,su
Zebra,Zebra,cebra
